name,season,total_obs,nrmse,rmse,mse,wape,smape,mase,nse,pearson,total_ratio,peak_week_err,xcorr_lag,cov_95,calib_err
3203403,2024-2025,3839.0,2.9903,220.761,48735.4351,1.0682,187.0897,1.9062,-0.1254,-0.2125,0.0893,17.0,12.0,0.1346,0.6865
3120839,2023-2024,8064.0,3.0046,465.9487,217108.1922,0.9959,192.1995,1.8334,-0.1151,0.1467,0.0193,5.0,5.0,0.0962,0.725
5108956,2024-2025,1895.0,3.0761,112.0995,12566.3016,1.0239,179.2877,1.5396,-0.115,-0.1591,0.0991,16.0,12.0,0.1538,0.6673
3132107,2022-2023,3225.0,3.0846,191.3054,36597.7448,1.0483,190.719,1.5308,-0.1177,-0.1472,0.072,12.0,12.0,0.0962,0.7298
3140852,2022-2023,1788.0,3.1556,108.5049,11773.306,1.0499,196.8127,1.1213,-0.1061,-0.1088,0.0649,9.0,10.0,0.0192,0.7731
3135050,2022-2023,3058.0,3.2096,188.7501,35626.5904,1.0071,178.6429,1.0366,-0.0991,-0.0916,0.0734,13.0,12.0,0.25,0.6048
3170578,2023-2024,1467.0,3.2498,91.6816,8405.5101,1.0069,178.713,1.3099,-0.1018,-0.0854,0.1341,11.0,11.0,0.1154,0.6769
3204609,2024-2025,1022.0,3.2935,64.7291,4189.8624,1.09,177.3435,1.39,-0.0964,-0.149,0.1933,15.0,12.0,0.1731,0.6625
3204500,2024-2025,1929.0,3.3873,125.6566,15789.5816,1.0526,189.9672,1.5413,-0.0954,-0.164,0.0664,16.0,12.0,0.0769,0.7298
3202900,2024-2025,2079.0,3.4056,136.1579,18538.9751,1.0954,194.218,1.5468,-0.0999,-0.1454,0.1006,15.0,12.0,0.0385,0.7538
3205036,2024-2025,3381.0,3.4208,222.4179,49469.7089,1.0571,194.6672,1.7958,-0.0946,-0.1633,0.0633,17.0,12.0,0.0769,0.749
3200300,2024-2025,1550.0,3.4228,102.0246,10409.0134,1.1715,190.013,1.337,-0.1027,-0.1819,0.1982,16.0,12.0,0.0577,0.7394
3203809,2024-2025,3235.0,3.4516,214.7306,46109.217,1.0875,189.5382,1.577,-0.0919,-0.1738,0.0996,16.0,12.0,0.0769,0.7202
1200708,2023-2024,2177.0,3.6997,154.8899,23990.875,1.0136,165.4062,1.2185,-0.0751,-0.1488,0.0843,18.0,12.0,0.25,0.5615
3200102,2024-2025,1400.0,3.7525,101.0296,10206.9718,1.3347,189.0686,1.3842,-0.1169,-0.1525,0.3756,15.0,12.0,0.1538,0.6913
3203163,2024-2025,1966.0,3.7861,143.1437,20490.1194,1.1684,196.4894,1.6517,-0.0835,-0.1499,0.174,16.0,12.0,0.0577,0.7538
3122504,2023-2024,1076.0,4.2827,88.6179,7853.1351,1.1194,199.6385,0.9287,-0.0633,-0.1009,0.1208,12.0,12.0,0.0192,0.7827
